"Reference","Qty","Value","DNP","Footprint","Datasheet","Manufacturer","MPN","Supplier","Supplier PN"
"C1","1","47uF/50V","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","","Rubycon","50RX3047MT78X11.5","JLCPCB/LCSC","C473223"
"C2","1","1uF/50V","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder","","Kyocera AVX","08055C105K4T2A","JLCPCB/LCSC","C779994"
"D1","1","SMBJ33A","","Diode_SMD:D_SMB_Handsoldering","","Zhengxin","SMBJ33A","JLCPCB/LCSC","C5261717"
"D11,D12","2","1N4007","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal","","ST(Semtech)","1N4007","JLCPCB/LCSC","C106903"
"F1","1","3A","","JLC:FUSE-TH_L22.6-W9.0","","Xucheng Elec","5x20 BLX-A XC-7","JLCPCB/LCSC","C3131"
"J1","1","Pi/Control GPIO Conn.","","JLC:CONN-TH_3P-P5.08_DIBO_DB128V-5.08-3P-X","","Dorabo","DB128V-5.08-3P-GN-S","JLCPCB/LCSC","C2915640"
"J2","1","24V_IN","","JLC:CONN-TH_YC0220500000G","","Amphenol ICC","YC0220500000G","JLCPCB/LCSC","C2683165"
"J3","1","PROJECTOR_SW24V_GND","","JLC:CONN-TH_YC0220500000G","","Amphenol ICC","YC0220500000G","JLCPCB/LCSC","C2683165"
"J4","1","VIEWER_SW24V_GND","","JLC:CONN-TH_YC0220500000G","","Amphenol ICC","YC0220500000G","JLCPCB/LCSC","C2683165"
"R11,R12","2","390R","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Yageo","RC0805FR-07390RL","JLCPCB/LCSC","C114543"
"R15,R16","2","100K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder","","Yageo","RC0805FR-07100KL","JLCPCB/LCSC","C96346"
"U1,U2","2","G3VM-61GR2","","Omron:G-SOP4_OMR","G3VM-61GR2","Omron","G3VM-61GR2(TR05)","JLCPCB/LCSC","C2653911"
