Comment,Designator,Footprint,LCSC Part #
47uF/50V,C1,CP_Radial_D8.0mm_P3.50mm,C473223
1uF/50V,C2,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,C779994
SMBJ33A,D1,D_SMB_Handsoldering,C5261717
1N4007,"D11,D12",D_DO-41_SOD81_P10.16mm_Horizontal,C106903
3A,F1,FUSE-TH_L22.6-W9.0,C3131
Pi/Control GPIO Conn.,J1,CONN-TH_3P-P5.08_DIBO_DB128V-5.08-3P-X,C2915640
24V_IN,J2,CONN-TH_YC0220500000G,C2683165
PROJECTOR_SW24V_GND,J3,CONN-TH_YC0220500000G,C2683165
VIEWER_SW24V_GND,J4,CONN-TH_YC0220500000G,C2683165
390R,"R11,R12",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C114543
100K,"R15,R16",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C96346
G3VM-61GR2,"U1,U2",G-SOP4_OMR,C2653911
