Designator,Mid X,Mid Y,Layer,Rotation
C1,41.000000,-51.000000,Top,270
C2,47.500000,-52.500000,Top,270
D1,33.000000,-55.000000,Top,270
D11,74.920000,-57.080000,Top,90
D12,75.000000,-42.080000,Top,90
F1,33.500000,-65.000000,Top,0
J1,44.000000,-16.500000,Top,180
J2,54.500000,-63.172500,Top,0
J3,84.000000,-52.000000,Top,90
J4,84.000000,-36.960000,Top,90
R11,68.920000,-47.500000,Top,180
R12,69.000000,-32.500000,Top,180
R15,64.920000,-49.500000,Top,270
R16,65.000000,-34.500000,Top,270
U1,70.190000,-50.925000,Top,270
U2,70.270000,-35.925000,Top,270
