Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF/50V","CP_Radial_D8.0mm_P3.50mm",41.000000,-51.000000,-90.000000,top
"C2","1uF/50V","C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",47.500000,-52.500000,-90.000000,top
"D1","SMBJ33A","D_SMB_Handsoldering",33.000000,-55.000000,-90.000000,top
"D11","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",74.920000,-57.080000,90.000000,top
"D12","1N4007","D_DO-41_SOD81_P10.16mm_Horizontal",75.000000,-42.080000,90.000000,top
"F1","3A","FUSE-TH_L22.6-W9.0",33.500000,-65.000000,0.000000,top
"J1","Pi/Control GPIO Conn.","CONN-TH_3P-P5.08_DIBO_DB128V-5.08-3P-X",44.000000,-16.500000,180.000000,top
"J2","24V_IN","CONN-TH_YC0220500000G",54.500000,-63.172500,0.000000,top
"J3","PROJECTOR_SW24V_GND","CONN-TH_YC0220500000G",84.000000,-52.000000,90.000000,top
"J4","VIEWER_SW24V_GND","CONN-TH_YC0220500000G",84.000000,-36.960000,90.000000,top
"R11","390R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",68.920000,-47.500000,180.000000,top
"R12","390R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",69.000000,-32.500000,180.000000,top
"R15","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",64.920000,-49.500000,-90.000000,top
"R16","100K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",65.000000,-34.500000,-90.000000,top
"U1","G3VM-61GR2","G-SOP4_OMR",70.190000,-50.925000,-90.000000,top
"U2","G3VM-61GR2","G-SOP4_OMR",70.270000,-35.925000,-90.000000,top
