"Reference","Qty","Value","DNP","Footprint","Datasheet"
"C1","1","47uF/50V","","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm",""
"C2","1","1uF/50V","","Capacitor_SMD:C_0805_2012Metric_Pad1.18x1.45mm_HandSolder",""
"D1","1","SMBJ33A","","Diode_SMD:D_SMB_Handsoldering",""
"D11,D12,D13,D14","4","1N4007","","Diode_THT:D_DO-41_SOD81_P10.16mm_Horizontal",""
"F1","1","3A","","Fuse:Fuseholder_Clip-5x20mm_Bel_FC-203-22_Lateral_P17.80x5.00mm_D1.17mm_Horizontal",""
"J1","1","Pi/Control GPIO Conn.","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-5-5.08_1x05_P5.08mm_Horizontal",""
"J2","1","24V_IN","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J3","1","PROJECTOR_SW24V_GND","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J4","1","VIEWER_SW24V_GND","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J5","1","AUX1_SW24V_GND","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"J6","1","AUX2_SW24V_GND","","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal",""
"R11,R12,R13,R14","4","390R","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"R15,R16,R17,R18","4","100K","","Resistor_SMD:R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",""
"U1,U2,U3,U4","4","G3VM-61GR2","","Omron:G-SOP4_OMR","G3VM-61GR2"
